date,basket_cost,basket_pct_change,year
2020-02-01,93.02,0.0,2020
2020-03-01,99.89,7.39,2020
2020-04-01,101.5,9.12,2020
2020-05-01,97.86,5.2,2020
2020-06-01,99.01,6.44,2020
2020-07-01,96.81,4.07,2020
2020-08-01,94.31,1.39,2020
2020-09-01,92.98,-0.04,2020
2020-10-01,94.06,1.12,2020
2020-11-01,97.34,4.64,2020
2020-12-01,97.32,4.62,2020
2021-01-01,96.19,3.41,2021
2021-02-01,95.01,2.14,2021
2021-03-01,94.77,1.88,2021
2021-04-01,99.33,6.78,2021
2021-05-01,101.14,8.73,2021
2021-06-01,100.83,8.4,2021
2021-07-01,101.36,8.97,2021
2021-08-01,103.04,10.77,2021
2021-09-01,102.45,10.14,2021
2021-10-01,102.56,10.26,2021
2021-11-01,107.66,15.74,2021
2021-12-01,108.48,16.62,2021
2022-01-01,105.73,13.66,2022
2022-02-01,106.48,14.47,2022
2022-03-01,110.66,18.96,2022
2022-04-01,114.28,22.86,2022
2022-05-01,115.28999999999999,23.94,2022
2022-06-01,114.87,23.49,2022
2022-07-01,117.03,25.81,2022
2022-08-01,118.88,27.8,2022
2022-09-01,117.35000000000001,26.16,2022
2022-10-01,110.91,19.23,2022
2022-11-01,117.77,26.61,2022
2022-12-01,119.54,28.51,2022
2023-01-01,116.3,25.03,2023
2023-02-01,118.32,27.2,2023
2023-03-01,118.03,26.89,2023
2023-04-01,124.03,33.34,2023
2023-05-01,124.52000000000001,33.86,2023
2023-06-01,126.02,35.48,2023
2023-07-01,124.83,34.2,2023
2023-08-01,126.2,35.67,2023
2023-09-01,120.22,29.24,2023
2023-10-01,119.98,28.98,2023
2023-11-01,124.99,34.37,2023
2023-12-01,126.24,35.71,2023
2024-01-01,122.19,31.36,2024
2024-02-01,120.31,29.34,2024
2024-03-01,123.18,32.42,2024
2024-04-01,125.13,34.52,2024
2024-05-01,125.79,35.23,2024
2024-06-01,122.84,32.06,2024
2024-07-01,124.75999999999999,34.12,2024
2024-08-01,127.92,37.52,2024
2024-09-01,121.4,30.51,2024
2024-10-01,121.59,30.71,2024
2024-11-01,125.03,34.41,2024
2024-12-01,128.57999999999998,38.23,2024
2025-01-01,124.7,34.06,2025
2025-02-01,122.69,31.9,2025
2025-03-01,123.94,33.24,2025
2025-04-01,123.47,32.73,2025
2025-05-01,128.18,37.8,2025
2025-06-01,128.55,38.2,2025
2025-07-01,125.65,35.08,2025
2025-08-01,129.63,39.36,2025
2025-09-01,121.14,30.23,2025
2025-10-01,124.19,33.51,2025
2025-11-01,128.55,38.2,2025
2025-12-01,126.72,36.23,2025
2026-01-01,123.2,32.44,2026
2026-02-01,126.49000000000001,35.98,2026
